,TRB,STL,Pos,G,Player,Year,PTS,BLK,Tm,AST,FG,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
5743,453.0,73.0,C,73.0,Kent Benson,1980.0,698.0,92.0,TOT,178.0,299.0,7.590410958904108,3.16027397260274,10.750684931506848,9.561643835616438,2.4383561643835616,6.205479452054795,1.2602739726027397,1.0,4.095890410958904
5744,333.0,54.0,C,56.0,Kent Benson,1980.0,492.0,74.0,MIL,127.0,213.0,6.983928571428571,3.064285714285714,10.048214285714284,8.785714285714286,2.267857142857143,5.946428571428571,1.3214285714285714,0.9642857142857143,3.8035714285714284
5745,120.0,19.0,C,17.0,Kent Benson,1980.0,206.0,18.0,DET,51.0,86.0,9.588235294117647,3.476470588235294,13.064705882352941,12.117647058823529,3.0,7.0588235294117645,1.0588235294117647,1.1176470588235294,5.0588235294117645
5746,63.0,58.0,PG,68.0,Del Beshore,1980.0,244.0,5.0,CHI,139.0,88.0,3.05,0.6485294117647059,3.6985294117647056,3.588235294117647,2.0441176470588234,0.9264705882352942,0.07352941176470588,0.8529411764705882,1.2941176470588236
5747,208.0,62.0,PG,82.0,Henry Bibby,1980.0,739.0,6.0,PHI,307.0,251.0,7.363414634146341,1.2634146341463415,8.626829268292683,9.012195121951219,3.7439024390243905,2.5365853658536586,0.07317073170731707,0.7560975609756098,3.0609756097560976
5748,852.0,143.0,PF,82.0,Larry Bird*,1980.0,1745.0,53.0,BOS,370.0,693.0,16.64390243902439,4.873170731707317,21.517073170731706,21.28048780487805,4.512195121951219,10.390243902439025,0.6463414634146342,1.7439024390243902,8.451219512195122
5749,331.0,136.0,SG,82.0,Otis Birdsong,1980.0,1858.0,22.0,KCK,202.0,781.0,17.30609756097561,2.1926829268292685,19.498780487804876,22.658536585365855,2.4634146341463414,4.036585365853658,0.2682926829268293,1.6585365853658536,9.524390243902438
5750,227.0,97.0,SG,81.0,Ron Boone,1980.0,1004.0,3.0,TOT,309.0,405.0,9.939506172839504,1.4913580246913583,11.430864197530862,12.395061728395062,3.814814814814815,2.802469135802469,0.037037037037037035,1.1975308641975309,5.0
5751,11.0,5.0,SG,6.0,Ron Boone,1980.0,34.0,0.0,LAL,7.0,14.0,4.433333333333333,0.9833333333333334,5.416666666666666,5.666666666666667,1.1666666666666667,1.8333333333333333,0.0,0.8333333333333334,2.3333333333333335
5752,216.0,92.0,SG,75.0,Ron Boone,1980.0,970.0,3.0,UTA,302.0,391.0,10.38,1.532,11.912,12.933333333333334,4.026666666666666,2.88,0.04,1.2266666666666666,5.213333333333333
5753,39.0,4.0,PF,13.0,Lawrence Boston,1980.0,56.0,2.0,WSB,2.0,24.0,3.2307692307692304,1.3384615384615386,4.569230769230769,4.3076923076923075,0.15384615384615385,3.0,0.15384615384615385,0.3076923076923077,1.8461538461538463
5754,442.0,29.0,PF,79.0,Tom Boswell,1980.0,903.0,37.0,TOT,161.0,346.0,8.846835443037973,2.488607594936709,11.335443037974681,11.430379746835444,2.037974683544304,5.594936708860759,0.46835443037974683,0.3670886075949367,4.379746835443038
5755,114.0,5.0,PF,18.0,Tom Boswell,1980.0,203.0,8.0,DEN,46.0,72.0,8.805555555555555,2.75,11.555555555555555,11.277777777777779,2.5555555555555554,6.333333333333333,0.4444444444444444,0.2777777777777778,4.0
5756,328.0,24.0,PF,61.0,Tom Boswell,1980.0,700.0,29.0,UTA,115.0,274.0,8.859016393442623,2.4114754098360653,11.270491803278688,11.475409836065573,1.8852459016393444,5.377049180327869,0.47540983606557374,0.39344262295081966,4.491803278688525
5757,133.0,59.0,SG,64.0,Winford Boynes,1980.0,546.0,19.0,NJN,95.0,221.0,6.6140625,1.1968750000000001,7.8109375000000005,8.53125,1.484375,2.078125,0.296875,0.921875,3.453125
5758,6.0,3.0,SF,22.0,Alonzo Bradley,1980.0,41.0,0.0,HOU,3.0,17.0,1.4090909090909092,0.15000000000000002,1.559090909090909,1.8636363636363635,0.13636363636363635,0.2727272727272727,0.0,0.13636363636363635,0.7727272727272727
5759,223.0,211.0,SG,82.0,Dudley Bradley,1980.0,688.0,48.0,IND,252.0,275.0,6.823170731707317,2.0353658536585364,8.858536585365854,8.390243902439025,3.073170731707317,2.7195121951219514,0.5853658536585366,2.573170731707317,3.3536585365853657
5760,167.0,93.0,PG,82.0,Mike Bratz,1980.0,700.0,9.0,PHO,223.0,269.0,6.847560975609756,1.1878048780487807,8.035365853658536,8.536585365853659,2.7195121951219514,2.0365853658536586,0.10975609756097561,1.1341463414634145,3.2804878048780486
5761,257.0,42.0,PF,67.0,Jim Brewer,1980.0,194.0,43.0,POR,75.0,90.0,2.3850746268656713,1.9149253731343285,4.3,2.8955223880597014,1.1194029850746268,3.8358208955223883,0.6417910447761194,0.6268656716417911,1.3432835820895523
5762,214.0,98.0,SG,82.0,Ron Brewer,1980.0,1286.0,48.0,POR,216.0,548.0,12.173170731707316,1.578048780487805,13.75121951219512,15.682926829268293,2.6341463414634148,2.6097560975609757,0.5853658536585366,1.1951219512195121,6.682926829268292
